기준일,예금            ,예금미수이자    ,콜론            ,콜미수이자      ,정기예금        ,정기예금미수이자,REPO            ,REPO미수이자    ,채권            ,채권미수이자    ,외화예금        ,외화정기예금    ,외화예금미수이자,외화채권        ,외화채권미수이자
20250807,3874967983,698245,0,0,0,0,0,0,0,0,0,0,0,0,0
20250808,4266129461,940187,0,0,0,0,0,0,0,0,0,0,0,0,0
20250809,4266129461,1182129,0,0,0,0,0,0,0,0,0,0,0,0,0
20250810,4266129461,1424072,0,0,0,0,0,0,0,0,0,0,0,0,0
20250811,1734313795,1522429,0,0,0,0,0,0,0,0,0,0,0,0,0
20250812,1594354931,1612848,0,0,0,0,0,0,0,0,0,0,0,0,0
20250813,1591248025,1703092,0,0,0,0,0,0,0,0,0,0,0,0,0
20250814,902361056,1754266,0,0,0,0,0,0,0,0,0,0,0,0,0
20250815,902361056,1805441,0,0,0,0,0,0,0,0,0,0,0,0,0
20250816,902361056,1856616,0,0,0,0,0,0,0,0,0,0,0,0,0
20250817,902361056,1907791,0,0,0,0,0,0,0,0,0,0,0,0,0
20250818,2466728953,2047685,0,0,0,0,0,0,0,0,0,0,0,0,0
20250819,2170225275,2170764,0,0,0,0,0,0,0,0,0,0,0,0,0
20250820,2326510883,2302706,0,0,0,0,0,0,0,0,0,0,0,0,0
20250821,2326642883,2434655,0,0,0,0,0,0,0,0,0,0,0,0,0
20250822,3250267298,2618985,0,0,0,0,0,0,0,0,0,0,0,0,0
20250823,3250267298,2803316,0,0,0,0,0,0,0,0,0,0,0,0,0
20250824,3250267298,2987646,0,0,0,0,0,0,0,0,0,0,0,0,0
20250825,3582488276,3190817,0,0,0,0,0,0,0,0,0,0,0,0,0
20250826,2886237346,3354502,0,0,0,0,0,0,0,0,0,0,0,0,0
20250827,2016969886,3468889,0,0,0,0,0,0,0,0,0,0,0,0,0
20250828,3260593286,3653805,0,0,0,0,0,0,0,0,0,0,0,0,0
20250829,3790223880,3868758,0,0,0,0,0,0,0,0,0,0,0,0,0
20250830,3790223880,4083710,0,0,0,0,0,0,0,0,0,0,0,0,0
20250831,3790223880,4298662,0,0,0,0,0,0,0,0,0,0,0,0,0
20250901,1960714168,111196,0,0,0,0,0,0,0,0,0,0,0,0,0
20250902,1957761118,222225,0,0,0,0,0,0,0,0,0,0,0,0,0
20250903,2687355763,374632,0,0,0,0,0,0,0,0,0,0,0,0,0
20250904,353036859,394653,0,0,0,0,0,0,0,0,0,0,0,0,0
20250905,2365589555,528811,0,0,0,0,0,0,0,0,0,0,0,0,0
20250906,2365589555,662969,0,0,0,0,0,0,0,0,0,0,0,0,0
20250907,2365589555,797127,0,0,0,0,0,0,0,0,0,0,0,0,0
20250908,2583275240,943631,0,0,0,0,0,0,0,0,0,0,0,0,0
20250909,2268660008,1072292,0,0,0,0,0,0,0,0,0,0,0,0,0
20250910,3016584725,1243369,0,0,0,0,0,0,0,0,0,0,0,0,0
20250911,1524042841,1329801,0,0,0,0,0,0,0,0,0,0,0,0,0
20250912,678551974,1368284,0,0,0,0,0,0,0,0,0,0,0,0,0
20250913,678551974,1406766,0,0,0,0,0,0,0,0,0,0,0,0,0
20250914,678551974,1445248,0,0,0,0,0,0,0,0,0,0,0,0,0
20250915,1903118884,1553179,0,0,0,0,0,0,0,0,0,0,0,0,0
20250916,609937790,1587770,0,0,0,0,0,0,0,0,0,0,0,0,0
20250917,1899822955,1695513,0,0,0,0,0,0,0,0,0,0,0,0,0
20250918,223346398,1708179,0,0,0,0,0,0,0,0,0,0,0,0,0
20250919,1032078810,1766711,0,0,0,0,0,0,0,0,0,0,0,0,0
20250920,1032078810,1825243,0,0,0,0,0,0,0,0,0,0,0,0,0
20250921,1032078810,1883774,0,0,0,0,0,0,0,0,0,0,0,0,0
20250922,329408043,1902456,0,0,0,0,0,0,0,0,0,0,0,0,0
20250923,1385451420,1981028,0,0,0,0,0,0,0,0,0,0,0,0,0
20250924,1667480470,2075595,0,0,0,0,0,0,0,0,0,0,0,0,0
20250925,1666755790,2170120,0,0,0,0,0,0,0,0,0,0,0,0,0
20250926,469587960,2196752,0,0,0,0,0,0,0,0,0,0,0,0,0
20250927,469587960,2223383,0,0,0,0,0,0,0,0,0,0,0,0,0
20250928,469587960,2250014,0,0,0,0,0,0,0,0,0,0,0,0,0
20250929,3708773452,2460348,0,0,0,0,0,0,0,0,0,0,0,0,0
20250930,4620465512,2722385,0,0,0,0,0,0,0,0,0,0,0,0,0
